,date_end,computed_threshold,thresholds,precisions,recalls,f1s,accuracies,exclusion_ratios,n_incorrectly_excluded
30,2023/06/03,0.00025922570494,"0.00017732646665535867, 0.0001618464448256418, 0.0005785200628452003, 0.00021804672724101692, 0.000160388823132962","0.15257048092868988, 0.09875, 0.3682170542635659, 0.17660044150110377, 0.21804511278195488","1.0, 1.0, 1.0, 1.0, 1.0","0.2647482014388489, 0.1797497155858931, 0.5382436260623229, 0.300187617260788, 0.35802469135802467","0.6105182926829268, 0.4504573170731707, 0.8756674294431731, 0.7154843630816171, 0.7620137299771167","0.5403963414634146, 0.3902439024390244, 0.8032036613272311, 0.6544622425629291, 0.6956521739130435","0, 0, 0, 0, 0"
31,2023/06/10,0.0001938951638294,"0.0002092408831231296, 0.0002219983289251104, 0.0002730033593252301, 0.00013912944996263832, 0.0001261037978110835","0.28923076923076924, 0.21066666666666667, 0.3310104529616725, 0.09327036599763873, 0.17325800376647835","1.0, 1.0, 1.0, 1.0, 1.0","0.44868735083532224, 0.3480176211453745, 0.4973821989528796, 0.17062634989200864, 0.2953451043338684","0.8261851015801355, 0.7772761474793077, 0.8555304740406321, 0.4221218961625282, 0.6694277108433735","0.7554552294958615, 0.7178329571106095, 0.7840481565086531, 0.36267870579382994, 0.6001506024096386","0, 0, 0, 0, 0"
32,2023/06/17,0.0003705706971231,"0.0004214985528960824, 0.00011121062561869621, 0.00018677327898330986, 0.0008570203208364546, 0.0002763507072813809","0.30656934306569344, 0.19607843137254902, 0.14009661835748793, 0.5515463917525774, 0.2613240418118467","1.0, 1.0, 1.0, 0.9907407407407407, 1.0","0.4692737430167598, 0.3278688524590164, 0.24576271186440682, 0.7086092715231788, 0.4143646408839779","0.8590504451038575, 0.7262611275964391, 0.6038575667655787, 0.9347181008902077, 0.8427299703264095","0.7967359050445104, 0.6594955489614244, 0.5393175074183977, 0.8560830860534124, 0.7870919881305638","0, 0, 0, 1, 0"
33,2023/06/24,0.0002240017565782,"0.0001233112852787599, 0.0005118183908052742, 0.00010255361121380702, 0.0001243923616129905, 0.0002579331339802593","0.0971709717097171, 0.3805668016194332, 0.1368421052631579, 0.11651728553137004, 0.24533333333333332","1.0, 1.0, 1.0, 1.0, 1.0","0.17713004484304934, 0.5513196480938416, 0.24074074074074076, 0.20871559633027523, 0.39400428265524623","0.461086637298091, 0.8876651982378855, 0.57856093979442, 0.4933920704845815, 0.7920646583394563","0.40308370044052866, 0.8186490455212923, 0.5117474302496329, 0.4265785609397944, 0.7244673034533431","0, 0, 0, 0, 0"
34,2023/07/01,0.0002402997459284,"0.0002662754850462079, 0.0003910899395123124, 0.00023623737797606736, 0.00018714084581006318, 0.00012075508129782975","0.2125340599455041, 0.3591549295774648, 0.34563758389261745, 0.19730941704035873, 0.10362694300518134","1.0, 0.9902912621359223, 0.9903846153846154, 1.0, 1.0","0.350561797752809, 0.5271317829457365, 0.5124378109452737, 0.32958801498127344, 0.18779342723004694","0.7919366450683946, 0.8681556195965417, 0.8587896253602305, 0.7420749279538905, 0.5014409221902018","0.7357811375089993, 0.7953890489913544, 0.7853025936599424, 0.6786743515850144, 0.4438040345821326","0, 1, 1, 0, 0"
35,2023/07/08,0.0001932350744027,"0.0002830498560797423, 0.00014003449177835137, 9.268961730413139e-05, 0.0002916315570473671, 0.00015876984980423003","0.28923076923076924, 0.2398286937901499, 0.08915906788247213, 0.2937062937062937, 0.14727272727272728","1.0, 0.9911504424778761, 1.0, 1.0, 1.0","0.44868735083532224, 0.38620689655172413, 0.16372093023255813, 0.454054054054054, 0.2567353407290016","0.8354700854700855, 0.7464387464387464, 0.3596866096866097, 0.8560228082679971, 0.6657163221667854","0.7685185185185185, 0.6673789173789174, 0.297008547008547, 0.7961511047754811, 0.6079828937990022","0, 1, 0, 0, 0"
36,2023/07/15,0.0002531053731217,"0.0002672842238098383, 0.00039622242911718786, 0.00015521884779445827, 0.00011308060493320227, 0.0003337207599543035","0.2604166666666667, 0.38114754098360654, 0.11695137976346912, 0.09602649006622517, 0.38306451612903225","0.9900990099009901, 1.0, 1.0, 1.0, 1.0","0.4123711340206186, 0.5519287833827893, 0.20941176470588235, 0.17522658610271905, 0.5539358600583091","0.7992957746478874, 0.893661971830986, 0.5267605633802817, 0.4232394366197183, 0.8922535211267606","0.7295774647887324, 0.828169014084507, 0.4640845070422535, 0.3619718309859155, 0.8253521126760563","1, 0, 0, 0, 0"
37,2023/07/29,0.0001475733894039,"0.00011948242172366008, 0.00022666742734145373, 0.00010902844951488078, 0.00015207985416054726, 0.00013060879427939653","0.1307471264367816, 0.2822822822822823, 0.11995104039167687, 0.18199608610567514, 0.1621160409556314","1.0, 1.0, 1.0, 1.0, 1.0","0.23125794155019058, 0.44028103044496486, 0.21420765027322405, 0.3079470198675497, 0.2790014684287812","0.5821823204419889, 0.8349447513812155, 0.5034530386740331, 0.7113259668508287, 0.6606772633033863","0.5193370165745856, 0.7700276243093923, 0.43577348066298344, 0.6470994475138122, 0.5950241879751209","0, 0, 0, 0, 0"
38,2023/08/05,0.000188563739357,"0.00011149062629556283, 0.0004341671010479331, 0.00021140628086868674, 7.03647019690834e-05, 0.00011538998660398647","0.12089201877934272, 0.33707865168539325, 0.23173803526448364, 0.09720785935884178, 0.09152872444011685","0.9903846153846154, 1.0, 1.0, 1.0, 1.0","0.21548117154811713, 0.5042016806722689, 0.376278118609407, 0.17719132893496703, 0.16770740410347906","0.48700410396716826, 0.8789329685362517, 0.7913816689466484, 0.40287277701778385, 0.3613963039014374","0.4172366621067031, 0.8173734610123119, 0.728454172366621, 0.3385772913816689, 0.29705681040383297","1, 0, 0, 0, 0"
39,2023/08/12,0.0002242616785224,"0.00015810257173143327, 0.000274212216027081, 0.0002127333136741072, 0.00021123906481079757, 0.0002650212263688445","0.12424242424242424, 0.34256055363321797, 0.18, 0.28530259365994237, 0.2852941176470588","1.0, 0.99, 1.0, 1.0, 1.0","0.2210242587601078, 0.5089974293059125, 0.3050847457627119, 0.44394618834080724, 0.4439359267734554","0.6086662153012864, 0.8705962059620597, 0.6944444444444444, 0.8319783197831978, 0.8353658536585366","0.5531482735274205, 0.80420054200542, 0.6273712737127372, 0.7649051490514905, 0.7696476964769647","0, 1, 0, 0, 0"
40,2023/08/19,0.0001929553734953,"0.00015442166477441788, 0.00020564159785863012, 0.0001014606750686653, 0.00016167093417607248, 0.00034158199559897184","0.2113022113022113, 0.23429951690821257, 0.13389121338912133, 0.19411764705882353, 0.33222591362126247","1.0, 1.0, 1.0, 1.0, 0.9900990099009901","0.3488843813387424, 0.37964774951076324, 0.23616236162361623, 0.3251231527093596, 0.49751243781094534","0.7839838492597577, 0.7866756393001346, 0.582099596231494, 0.7232323232323232, 0.863973063973064","0.7261103633916555, 0.721399730820996, 0.5174966352624495, 0.6565656565656566, 0.7973063973063973","0, 0, 0, 0, 1"
41,2023/08/26,0.0002438353345496,"0.00014071312034502625, 0.0002580654982011765, 0.00025546710821799934, 0.0003258245124015957, 0.00023910643358249217","0.1875, 0.3183279742765273, 0.18126272912423624, 0.3023952095808383, 0.27692307692307694","0.9902912621359223, 0.99, 1.0, 0.9901960784313726, 1.0","0.31530139103554866, 0.48175182481751827, 0.3068965517241379, 0.46330275229357804, 0.4337349397590362","0.7056478405315615, 0.8584717607973422, 0.7328903654485049, 0.8445182724252491, 0.84375","0.6385382059800665, 0.7933554817275748, 0.6737541528239203, 0.7780730897009966, 0.7839095744680851","1, 1, 0, 1, 0"
42,2023/09/02,0.0001867817685706,"0.00021050759823992848, 0.00012668012641370296, 0.0001315952540608123, 0.00033712389995343983, 0.0001280019641853869","0.3508771929824561, 0.3064066852367688, 0.12256267409470752, 0.31386861313868614, 0.24330900243309003","0.9900990099009901, 0.990990990990991, 1.0, 1.0, 0.9900990099009901","0.5181347150259067, 0.46808510638297873, 0.21836228287841192, 0.4777777777777778, 0.39062500000000006","0.8773895847066578, 0.8352010547132498, 0.5844327176781002, 0.8759894459102903, 0.7941952506596306","0.8121292023731048, 0.7633487145682267, 0.5263852242744064, 0.8192612137203166, 0.728891820580475","1, 1, 0, 0, 1"
43,2023/09/09,0.0001906650402816,"0.0001364713243674487, 0.00012135185534134507, 0.00013730277714785188, 0.0002591083466541022, 0.0002990908978972584","0.11717861205915814, 0.15045592705167174, 0.12237330037082818, 0.33916083916083917, 0.30612244897959184","0.9903846153846154, 0.99, 1.0, 1.0, 1.0","0.2095625635808749, 0.2612137203166227, 0.21806167400881055, 0.5065274151436031, 0.46874999999999994","0.49149214659685864, 0.6335078534031413, 0.5353403141361257, 0.8763089005235603, 0.8664921465968587","0.424738219895288, 0.569371727748691, 0.47054973821989526, 0.81282722513089, 0.8075916230366492","1, 1, 0, 0, 0"
